Date	Daily minimum temperature	Daily maximum temperature	Maximum steady wind	Maximum wind gust	Total daily precipitation	Snow depth	Pressure	Icon	Description
6/29/16	62¡F	70¡F	9 Mph	18 Mph	0in	N/A	1015.6mb		weather events not reported
6/30/16	64¡F	68¡F	5 Mph	N/A	0in	N/A	1018.0mb		weather events not reported
5/1/16	53¡F	72¡F	14 Mph	22 Mph	0.3in	N/A	1014.5mb		Rain
5/2/16	57¡F	60¡F	7 Mph	N/A	0.22in	N/A	1013.0mb		weather events not reported
5/3/16	51¡F	56¡F	8 Mph	N/A	0.06in	N/A	1012.6mb		weather events not reported
5/4/16	53¡F	57¡F	6 Mph	N/A	0in	N/A	1009.2mb		weather events not reported
5/5/16	48¡F	52¡F	7 Mph	N/A	0.15in	N/A	1005.4mb		weather events not reported
5/6/16	49¡F	65¡F	18 Mph	31 Mph	0.15in	N/A	1008.3mb		Rain
5/7/16	N/A	N/A	7 Mph	N/A	0in	N/A	1009.4mb		weather events not reported
5/8/16	60¡F	64¡F	13 Mph	18 Mph	0in	N/A	1004.0mb		Rain
5/9/16	52¡F	58¡F	N/A	N/A	0in	N/A	1015.5mb		weather events not reported
5/10/16	51¡F	53¡F	6 Mph	N/A	0in	N/A	1020.6mb		weather events not reported
5/11/16	59¡F	62¡F	9 Mph	17 Mph	0in	N/A	1019.2mb		Rain
5/12/16	60¡F	66¡F	3 Mph	N/A	0in	N/A	1019.0mb		weather events not reported
5/13/16	64¡F	71¡F	8 Mph	N/A	N/A	N/A	1011.5mb		Rain
5/14/16	57¡F	61¡F	10 Mph	N/A	0in	N/A	1012.9mb		weather events not reported
5/15/16	41¡F	43¡F	N/A	21 Mph	0in	N/A	N/A		Rain
5/16/16	39¡F	45¡F	7 Mph	N/A	0in	N/A	1020.1mb		weather events not reported
5/17/16	53¡F	56¡F	7 Mph	N/A	0in	N/A	1022.5mb		weather events not reported
5/18/16	48¡F	62¡F	9 Mph	N/A	0.24in	N/A	1020.7mb		Rain
5/19/16	42¡F	68¡F	6 Mph	N/A	0.07in	N/A	1021.3mb		weather events not reported
5/20/16	57¡F	63¡F	6 Mph	N/A	0in	N/A	1022.4mb		weather events not reported
5/21/16	57¡F	67¡F	8 Mph	N/A	N/A	N/A	1018.4mb		Rain
5/22/16	51¡F	53¡F	8 Mph	N/A	0in	N/A	N/A		weather events not reported
5/23/16	53¡F	54¡F	7 Mph	N/A	0in	N/A	1015.4mb		Rain
5/24/16	59¡F	63¡F	9 Mph	N/A	0in	N/A	1016.1mb		weather events not reported
5/25/16	65¡F	72¡F	9 Mph	N/A	0in	N/A	1018.9mb		weather events not reported
5/26/16	55¡F	81¡F	17 Mph	22 Mph	0in	N/A	1018.7mb		weather events not reported
5/27/16	70¡F	74¡F	7 Mph	N/A	0in	N/A	1017.0mb		weather events not reported
5/28/16	72¡F	81¡F	8 Mph	N/A	0in	N/A	1017.5mb		weather events not reported
5/29/16	71¡F	79¡F	7 Mph	N/A	0in	N/A	1019.3mb		weather events not reported
5/30/16	63¡F	67¡F	7 Mph	N/A	0in	N/A	1017.2mb		weather events not reported
5/31/16	71¡F	75¡F	5 Mph	N/A	0in	N/A	1015.4mb		weather events not reported
4/1/16	51¡F	67¡F	23 Mph	37 Mph	0.01in	N/A	1002.8mb		Rain
4/2/16	44¡F	50¡F	14 Mph	28 Mph	0in	N/A	1007.7mb		weather events not reported
4/3/16	25¡F	53¡F	25 Mph	45 Mph	0.01in	N/A	1013.8mb		Fog
									Snowfall
									Rain
4/4/16	43¡F	54¡F	20 Mph	28 Mph	0in	N/A	1010.2mb		weather events not reported
4/5/16	25¡F	30¡F	16 Mph	26 Mph	0.23in	N/A	1021.9mb		Snowfall
4/6/16	28¡F	36¡F	6 Mph	N/A	0in	N/A	1027.3mb		weather events not reported
